characters名,aliases,英文名称,count
Sheldon,谢尔顿·库珀博士,Dr. Sheldon Cooper,1
Sheldon,谢尔顿·库珀,Sheldon Cooper,2
Sheldon,库珀博士,Dr. Cooper,6
Sheldon,库珀,Cooper,1
Sheldon,谢尔顿,Sheldon,196
Leonard,莱纳德·霍夫斯塔德博士,Dr. Leonard Hofstadter,1
Leonard,霍夫斯塔德博士,Dr. Hofstadter,1
Leonard,莱纳德·霍夫斯塔德,Leonard Hofstadter,0
Leonard,莱纳德,Leonard,143
Leonard,霍夫斯塔德,Hofstadter,2
Penny,佩妮,Penny,129
Howard,霍华德·沃尔维茨,Howard Wolowitz,2
Howard,霍华德·沃罗威茨,Howard Wolowitz,0
Howard,霍华德,Howard,59
Howard,沃尔维茨,Wolowitz,6
Howard,沃罗威茨,Wolowitz,12
Rajesh,拉杰·库萨帕里,Rajesh Koothrappali,2
Rajesh,拉杰,Raj,45
Rajesh,库萨帕里,Koothrappali,10
Others,小拉丽塔,Little Lalita,5
Others,罗德·泰勒,Rod Taylor,2
Others,盖博豪斯博士,Dr. Gablehauser,5
Others,丹尼斯,Dennis,19
Others,伊米尔·法尔曼法尔米安博士,Dr. Emil Farmanfarmian,1
Others,克里斯汀,Christy,11
Others,克里顿,Krypton,2
Others,凯尔,Kyle,1
Others,卢克,Luke,2
Others,史巴克,Spock,4
Others,哈里,Halle,1
Others,哈雷,hog,2
Others,埃尔文,Erwin,2
Others,夏纳,Shatner,2
Others,奥本海默,Oppenheimer,1
Others,威廉,William,2
Others,尼奥,Neo,1
Others,帕特尔,Patel,2
Others,帕萨迪纳,Pasadena,3
Others,弗拉多,Frodo,2
Others,彼得,Peter,4
Others,德法布,Goldfarb,0
Others,柯克舰长,Captain Kirk,2
Others,沃森博士,Dr. Watson,1
Others,沃罗威茨,Wolowitz,12
Others,海伦,Helen,2
Others,潘查理公主,Princess Panchali,6
Others,爱因斯坦,Einstein,3
Others,牛顿,Newton,3
Others,玛丽,Mary,2
Others,种马博士,Dr. Stud,1
Others,米茜,Missy,20
Others,艾尔顿·约翰,Elton John,1
Others,艾瑞克,Eric,1
Others,苏菲,Sophie,1
Others,莫扎特,Mozart,2
Others,莫洛克,Morlocks,4
Others,莱恩小姐,Miss Lane,1
Others,莱斯利,Leslie,30
Others,谢利,Shelly,9
Others,贝尔夫人,Mrs. Bell,3
Others,贝尔特,Vanderbelt,0
Others,里克,Leakey,2
Others,里奥,Leo,14
Others,金先生,Mr. Kim,5
Others,阿基米德,Archimedes,2
Others,雅克·库斯托,Jacques Cousteau,1
Others,麦克,Mike,6
Others,拉丽塔,Lalita,11
Others,泰勒,Taylor,0
Others,盖博豪斯,Gablehauser,1
Others,罗德,Rod,0
