characters名,aliases,count
Fulao,老傅同志,4
Fulao,傅明同志,9
Fulao,傅某人,1
Fulao,傅伯伯,4
Fulao,傅局长,8
Fulao,老局长,10
Fulao,老傅,45
Fulao,傅老,2
Fulao,贾敬贤,4
Heping,和平同志,12
Heping,和平老大妈,2
Heping,和平女侠,1
Heping,和平,174
Zhixin,志新哥哥,20
Zhixin,贾志新同志,12
Zhixin,贾志新,25
Zhixin,志新同志,0
Zhixin,志新哥,8
Zhixin,贾总,6
Zhixin,贾炕,3
Zhixin,志新,189
Zhiguo,贾志国同志,5
Zhiguo,贾志国先生,1
Zhiguo,贾志国,21
Zhiguo,志国同志,1
Zhiguo,志国哥哥,2
Zhiguo,志国,108
Zhiguo,贾先生,4
Zhiguo,贾总,0
Yuanyuan,贾圆圆同学,2
Yuanyuan,贾圆圆同志,3
Yuanyuan,贾圆圆歌友,1
Yuanyuan,贾圆圆,3
Yuanyuan,圆圆,187
Yuanyuan,坚妮,2
Xiaofan,贾小凡同志,1
Xiaofan,贾小凡同学,1
Xiaofan,贾小凡,4
Xiaofan,小凡姐,4
Xiaofan,小凡妹妹,4
Xiaofan,小凡姑娘,2
Xiaofan,小凡,55
Xiaozhang,小张阿姨,15
Xiaozhang,凤姑妹子,1
Xiaozhang,凤姑妹妹,5
Xiaozhang,张凤姑,5
Xiaozhang,张姑奶奶,3
Xiaozhang,小张,161
Xiaozhang,凤姑,5
Xiaozhang,小保姆,1
Yanhong,燕红妹妹,14
Yanhong,燕红阿姨,3
Yanhong,郑燕红同志,1
Yanhong,郑燕红,4
Yanhong,燕红,53
Others,丽达姑娘,2
Others,宝财哥,14
Others,纪春生,6
Others,春花姐,2
Others,三毛,0
Others,丽丽,3
Others,余主任,2
Others,余大妈,33
Others,余小姐,2
Others,侯小姐,2
Others,刘宇航,4
Others,刘建军,5
Others,刘文彩,2
Others,刘胡兰,2
Others,刘颖,6
Others,叶之贤,2
Others,周厂长,3
Others,姓孟的,6
Others,孟德,0
Others,孟昭晖,7
Others,孟老师,17
Others,小余,16
Others,小刘,14
Others,小加,2
Others,小史姑娘,5
Others,小方,20
Others,小晴,19
Others,小秘,0
Others,小翠,5
Others,小许,5
Others,尤主编,5
Others,张先生,3
Others,张国荣,19
Others,张欣来,3
Others,彭老师,2
Others,文怡,16
Others,方小姐,17
Others,昆儿哥,4
Others,朱总司令,2
Others,李秘,3
Others,杨晶晶,1
Others,毛主席,13
Others,王总,4
Others,王老师,4
Others,童安格,2
Others,老二,4
Others,老和同志,8
Others,老四,4
Others,老头儿,0
Others,老李,4
Others,老玉米,4
Others,老赵,2
Others,老郑,36
Others,胡大个儿,2
Others,费丽斯,0
Others,邱少云,2
Others,郑伯伯,5
Others,郑千里,1
Others,郑爷爷,4
Others,阿东,3
Others,阿姨,0
Others,阿巩,2
Others,阿庆,3
Others,阿敏,5
Others,阿昆,2
Others,阿欢,5
Others,阿玉,3
Others,阿英,4
Others,阿荣,15
Others,顾科长,16
Others,马小姐,4
Others,齐大姐,3
Others,齐大姨,5
Others,丽达,3
Others,宝财,7
Others,春生,18
Others,春花,14
