2026-02-09 00:00:11, Epoch 0, EER 33.9143, minDCF 0.956, 
2026-02-09 00:03:58, Epoch 1, LR 0.000010, Acc 95.94, LOSS 0.498029, EER 33.6000, minDCF 0.977, Train Time 147.81s, Eval Time 79.09s
2026-02-09 00:08:11, Epoch 2, LR 0.000010, Acc 96.44, LOSS 0.284690, EER 33.2857, minDCF 0.993, Train Time 133.96s, Eval Time 118.87s
2026-02-09 00:11:38, Epoch 3, LR 0.000010, Acc 96.98, LOSS 0.239026, EER 32.2571, minDCF 0.986, Train Time 125.00s, Eval Time 82.58s
2026-02-09 00:15:00, Epoch 4, LR 0.000010, Acc 97.24, LOSS 0.221660, EER 32.0000, minDCF 0.974, Train Time 120.40s, Eval Time 81.26s
2026-02-09 00:18:16, Epoch 5, LR 0.000010, Acc 97.52, LOSS 0.206456, EER 31.9143, minDCF 0.979, Train Time 116.54s, Eval Time 79.30s
2026-02-09 00:21:35, Epoch 6, LR 0.000010, Acc 97.86, LOSS 0.192110, EER 32.0000, minDCF 0.974, Train Time 111.23s, Eval Time 87.28s
2026-02-09 00:25:36, Epoch 7, LR 0.000010, Acc 97.91, LOSS 0.185584, EER 31.8000, minDCF 0.981, Train Time 112.61s, Eval Time 128.36s
2026-02-09 00:28:57, Epoch 8, LR 0.000010, Acc 98.12, LOSS 0.179026, EER 31.3143, minDCF 0.979, Train Time 111.42s, Eval Time 89.67s
2026-02-09 00:33:00, Epoch 9, LR 0.000010, Acc 98.34, LOSS 0.171248, EER 31.8000, minDCF 0.986, Train Time 112.14s, Eval Time 130.62s
2026-02-09 00:36:17, Epoch 10, LR 0.000010, Acc 98.37, LOSS 0.166405, EER 31.6286, minDCF 0.986, Train Time 112.08s, Eval Time 84.50s
2026-02-09 00:39:33, Epoch 11, LR 0.000010, Acc 98.59, LOSS 0.159434, EER 31.6286, minDCF 0.983, Train Time 111.81s, Eval Time 84.92s
2026-02-09 00:42:49, Epoch 12, LR 0.000010, Acc 98.60, LOSS 0.154577, EER 31.4571, minDCF 0.981, Train Time 110.94s, Eval Time 84.60s
2026-02-09 00:46:04, Epoch 13, LR 0.000010, Acc 98.66, LOSS 0.151719, EER 31.5714, minDCF 0.985, Train Time 111.63s, Eval Time 83.36s
2026-02-09 00:49:20, Epoch 14, LR 0.000010, Acc 98.85, LOSS 0.145252, EER 30.7429, minDCF 0.981, Train Time 111.13s, Eval Time 84.65s
2026-02-09 00:52:34, Epoch 15, LR 0.000010, Acc 98.78, LOSS 0.143671, EER 30.7714, minDCF 0.982, Train Time 111.13s, Eval Time 82.62s
2026-02-09 00:55:49, Epoch 16, LR 0.000010, Acc 98.90, LOSS 0.139883, EER 30.7714, minDCF 0.983, Train Time 111.30s, Eval Time 83.56s
