2026-01-25 01:00:11, Epoch 0, EER 33.9143, minDCF 0.956, 
2026-01-25 01:04:23, Epoch 1, LR 0.000010, Acc 95.95, LOSS 0.497997, EER 33.6857, minDCF 0.979, Train Time 113.33s, Eval Time 139.07s
2026-01-25 01:07:37, Epoch 2, LR 0.000010, Acc 96.43, LOSS 0.284561, EER 33.1714, minDCF 0.989, Train Time 111.74s, Eval Time 81.67s
2026-01-25 01:10:56, Epoch 3, LR 0.000010, Acc 96.99, LOSS 0.238997, EER 32.3143, minDCF 0.985, Train Time 111.26s, Eval Time 87.23s
2026-01-25 01:14:18, Epoch 4, LR 0.000010, Acc 97.24, LOSS 0.221589, EER 31.8286, minDCF 0.975, Train Time 111.36s, Eval Time 90.69s
2026-01-25 01:17:36, Epoch 5, LR 0.000010, Acc 97.53, LOSS 0.206449, EER 31.7714, minDCF 0.978, Train Time 111.07s, Eval Time 86.97s
2026-01-25 01:20:57, Epoch 6, LR 0.000010, Acc 97.84, LOSS 0.192110, EER 32.0000, minDCF 0.975, Train Time 111.19s, Eval Time 89.92s
2026-01-25 01:24:39, Epoch 7, LR 0.000010, Acc 97.88, LOSS 0.185537, EER 31.8571, minDCF 0.985, Train Time 111.96s, Eval Time 109.69s
2026-01-25 01:28:00, Epoch 8, LR 0.000010, Acc 98.13, LOSS 0.179038, EER 31.5143, minDCF 0.978, Train Time 112.30s, Eval Time 88.66s
2026-01-25 01:31:30, Epoch 9, LR 0.000010, Acc 98.33, LOSS 0.171254, EER 31.7429, minDCF 0.987, Train Time 111.34s, Eval Time 98.27s
2026-01-25 01:35:14, Epoch 10, LR 0.000010, Acc 98.38, LOSS 0.166393, EER 31.7714, minDCF 0.986, Train Time 111.58s, Eval Time 113.00s
2026-01-25 01:38:38, Epoch 11, LR 0.000010, Acc 98.59, LOSS 0.159373, EER 31.8000, minDCF 0.983, Train Time 111.50s, Eval Time 91.81s
2026-01-25 01:42:14, Epoch 12, LR 0.000010, Acc 98.58, LOSS 0.154548, EER 31.6000, minDCF 0.983, Train Time 111.64s, Eval Time 104.78s
2026-01-25 01:45:41, Epoch 13, LR 0.000010, Acc 98.68, LOSS 0.151663, EER 31.6286, minDCF 0.987, Train Time 111.68s, Eval Time 95.05s
2026-01-25 01:49:00, Epoch 14, LR 0.000010, Acc 98.88, LOSS 0.145192, EER 30.7143, minDCF 0.978, Train Time 111.96s, Eval Time 87.37s
2026-01-25 01:52:28, Epoch 15, LR 0.000010, Acc 98.78, LOSS 0.143559, EER 30.8286, minDCF 0.982, Train Time 111.49s, Eval Time 96.03s
