2026-01-25 00:58:34, Epoch 0, EER 20.3143, minDCF 0.710, 
2026-01-25 01:00:27, Epoch 1, LR 0.000010, Acc 94.87, LOSS 0.862206, EER 23.8000, minDCF 0.831, Train Time 42.45s, Eval Time 70.49s
2026-01-25 01:02:19, Epoch 2, LR 0.000010, Acc 95.78, LOSS 0.492912, EER 27.2286, minDCF 0.885, Train Time 40.37s, Eval Time 71.06s
2026-01-25 01:04:11, Epoch 3, LR 0.000010, Acc 96.54, LOSS 0.364802, EER 28.6000, minDCF 0.895, Train Time 40.71s, Eval Time 71.22s
2026-01-25 01:06:16, Epoch 4, LR 0.000010, Acc 96.65, LOSS 0.311456, EER 29.0286, minDCF 0.902, Train Time 40.51s, Eval Time 84.57s
2026-01-25 01:08:07, Epoch 5, LR 0.000010, Acc 97.11, LOSS 0.275439, EER 28.8571, minDCF 0.902, Train Time 40.49s, Eval Time 71.26s
2026-01-25 01:09:58, Epoch 6, LR 0.000010, Acc 97.39, LOSS 0.250368, EER 28.2286, minDCF 0.890, Train Time 40.35s, Eval Time 70.16s
2026-01-25 01:12:30, Epoch 7, LR 0.000010, Acc 97.36, LOSS 0.240773, EER 28.6571, minDCF 0.896, Train Time 40.58s, Eval Time 111.30s
2026-01-25 01:14:21, Epoch 8, LR 0.000010, Acc 97.24, LOSS 0.230322, EER 27.9714, minDCF 0.882, Train Time 40.52s, Eval Time 70.71s
2026-01-25 01:16:13, Epoch 9, LR 0.000010, Acc 97.73, LOSS 0.220307, EER 27.8286, minDCF 0.904, Train Time 40.30s, Eval Time 71.47s
2026-01-25 01:18:04, Epoch 10, LR 0.000010, Acc 98.01, LOSS 0.203239, EER 27.8571, minDCF 0.899, Train Time 40.40s, Eval Time 70.80s
2026-01-25 01:19:56, Epoch 11, LR 0.000010, Acc 97.95, LOSS 0.200816, EER 27.3429, minDCF 0.889, Train Time 40.60s, Eval Time 71.16s
2026-01-25 01:22:29, Epoch 12, LR 0.000010, Acc 98.00, LOSS 0.197801, EER 27.8571, minDCF 0.904, Train Time 40.76s, Eval Time 112.12s
2026-01-25 01:24:22, Epoch 13, LR 0.000010, Acc 98.29, LOSS 0.183194, EER 27.4000, minDCF 0.897, Train Time 40.75s, Eval Time 72.34s
2026-01-25 01:26:13, Epoch 14, LR 0.000010, Acc 98.50, LOSS 0.177324, EER 27.8286, minDCF 0.901, Train Time 40.41s, Eval Time 71.23s
2026-01-25 01:28:06, Epoch 15, LR 0.000010, Acc 98.45, LOSS 0.173826, EER 27.6000, minDCF 0.898, Train Time 40.36s, Eval Time 72.36s
2026-01-25 01:29:59, Epoch 16, LR 0.000010, Acc 98.84, LOSS 0.165058, EER 27.3143, minDCF 0.897, Train Time 40.39s, Eval Time 72.33s
2026-01-25 01:31:50, Epoch 17, LR 0.000010, Acc 98.72, LOSS 0.160314, EER 26.7143, minDCF 0.893, Train Time 40.23s, Eval Time 70.95s
2026-01-25 01:34:22, Epoch 18, LR 0.000010, Acc 98.79, LOSS 0.160573, EER 27.4571, minDCF 0.904, Train Time 40.31s, Eval Time 112.22s
2026-01-25 01:36:14, Epoch 19, LR 0.000010, Acc 99.04, LOSS 0.155762, EER 27.1714, minDCF 0.896, Train Time 40.29s, Eval Time 71.48s
2026-01-25 01:38:07, Epoch 20, LR 0.000010, Acc 98.95, LOSS 0.147688, EER 27.3429, minDCF 0.895, Train Time 40.25s, Eval Time 72.15s
2026-01-25 01:39:59, Epoch 21, LR 0.000010, Acc 99.15, LOSS 0.140291, EER 27.6857, minDCF 0.902, Train Time 40.19s, Eval Time 72.26s
2026-01-25 01:41:51, Epoch 22, LR 0.000010, Acc 98.88, LOSS 0.142011, EER 27.3714, minDCF 0.902, Train Time 40.21s, Eval Time 72.02s
2026-01-25 01:43:43, Epoch 23, LR 0.000010, Acc 99.04, LOSS 0.145404, EER 27.0571, minDCF 0.899, Train Time 40.40s, Eval Time 71.19s
2026-01-25 01:45:36, Epoch 24, LR 0.000010, Acc 99.15, LOSS 0.138042, EER 26.9143, minDCF 0.897, Train Time 40.48s, Eval Time 72.51s
